scenario,t_end_s,soc_end,v_end,temp_max_k,temp_min_k,soh_drop,avg_power_w,energy_wh,dt_s,n_points,experiment_id,label,group,rmse_v,mae_v,current_scale,r_scale,ocv_scale,voltage_offset
Day_in_the_Life,15080.0,0.08267306433365673,3.210634396712627,310.45953436499667,298.15,0.00019506878705044528,2.796265209492715,11.697187682592679,10.0,1509,baseline_ocv_r,"Baseline (OCV-R only, no temp corr, no RC, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Gaming,2060.0,0.06278691957815409,3.211504413732424,311.857948203662,298.15,0.0001638862331571067,18.509952969220368,10.59257838956926,5.0,413,baseline_ocv_r,"Baseline (OCV-R only, no temp corr, no RC, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Video_Streaming,4895.0,0.02688819977700886,3.1702955330373506,304.0605941324601,298.15,0.00019718540047553024,9.42558421165916,12.81713435688804,5.0,980,baseline_ocv_r,"Baseline (OCV-R only, no temp corr, no RC, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Winter_Usage,6655.0,0.12395988316769115,3.1892957778380513,298.15,277.075385531026,0.00022127717537501201,6.701365022599844,12.389162070372985,5.0,1332,baseline_ocv_r,"Baseline (OCV-R only, no temp corr, no RC, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Day_in_the_Life,15080.0,0.08243159747092663,3.20718945967786,310.4618799435556,298.15,0.00019509813785956176,2.7961066142503186,11.696527158918167,10.0,1509,temp_only,"Temp correction only (no RC, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Gaming,2055.0,0.06350995414690429,3.2101066393835334,311.85693402085536,298.15,0.00016371918432833699,18.515652309061043,10.570127700668294,5.0,412,temp_only,"Temp correction only (no RC, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Video_Streaming,4890.0,0.0273409555133082,3.175164700955388,304.0589347182416,298.15,0.00019710064913935899,9.426987571259502,12.805950863896886,5.0,979,temp_only,"Temp correction only (no RC, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Winter_Usage,6670.0,0.12299000505034827,3.1923306564874974,298.15,277.07494981537843,0.00022143937749341536,6.699774492689455,12.414139377749027,5.0,1335,temp_only,"Temp correction only (no RC, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Day_in_the_Life,15010.0,0.10644636221949832,3.1770512152604637,310.39844216683446,298.15,0.00019127008004160562,2.7384176496433437,11.401039711891354,10.0,1502,rc_only,"RC only (no temp corr, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Gaming,1990.0,0.08023710176652554,3.183240419516223,311.80567221956534,298.15,0.0001604864283601959,18.65760673092189,10.314376496259076,5.0,399,rc_only,"RC only (no temp corr, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Video_Streaming,4880.0,0.029040488152028136,3.1641676953483753,304.0515885484014,298.15,0.00019682571867707388,9.432316202749464,12.786993202932479,5.0,977,rc_only,"RC only (no temp corr, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Winter_Usage,6595.0,0.13247374215198593,3.175580730412413,298.15,277.0753855302533,0.00022011608291228058,6.714986288532928,12.302407130923715,5.0,1320,rc_only,"RC only (no temp corr, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Day_in_the_Life,15010.0,0.1062254653787254,3.173772308275604,310.4003362400517,298.15,0.0001912978544742483,2.7382738606051555,11.400444961732013,10.0,1502,full_model,Full model (RC + temp corr + calib),baseline,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Gaming,1980.0,0.08222486587805126,3.183375307702875,311.80200448678875,298.15,0.00016006754793185252,18.674410854113393,10.271801544819297,5.0,397,full_model,Full model (RC + temp corr + calib),baseline,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Video_Streaming,4875.0,0.029488002405548417,3.167986546315201,304.05017791267727,298.15,0.00019674121791646293,9.433728172003443,12.775806168953217,5.0,976,full_model,Full model (RC + temp corr + calib),baseline,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Winter_Usage,6615.0,0.13077628165563773,3.177909399789541,298.15,277.0749498145452,0.00022037850507439227,6.712279938199182,12.334743794725023,5.0,1324,full_model,Full model (RC + temp corr + calib),baseline,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Day_in_the_Life,15010.0,0.1062254653787254,3.173772308275604,310.4003362400517,298.15,0.0001912978544742483,2.7382738606051555,11.400444961732013,10.0,1502,ablation_no_mc,Ablation: no Monte Carlo,ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Gaming,1980.0,0.08222486587805126,3.183375307702875,311.80200448678875,298.15,0.00016006754793185252,18.674410854113393,10.271801544819297,5.0,397,ablation_no_mc,Ablation: no Monte Carlo,ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Video_Streaming,4875.0,0.029488002405548417,3.167986546315201,304.05017791267727,298.15,0.00019674121791646293,9.433728172003443,12.775806168953217,5.0,976,ablation_no_mc,Ablation: no Monte Carlo,ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Winter_Usage,6615.0,0.13077628165563773,3.177909399789541,298.15,277.0749498145452,0.00022037850507439227,6.712279938199182,12.334743794725023,5.0,1324,ablation_no_mc,Ablation: no Monte Carlo,ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Day_in_the_Life,14650.0,0.2772442371447773,3.0434478367701177,298.15,298.15,0.00017302753425108008,2.4123195605033416,9.79174589926659,10.0,1466,ablation_no_thermal,Ablation: freeze thermal coupling,ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Gaming,1270.0,0.2681722298976604,3.044455565862544,298.15000254000194,298.15,0.0001369731955619402,21.566894948977865,7.609087102199569,5.0,255,ablation_no_thermal,Ablation: freeze thermal coupling,ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Video_Streaming,4710.0,0.04431189718433496,3.190204877723654,298.15,298.15,0.00019950174097038698,9.57716288328498,12.53124379240536,5.0,943,ablation_no_thermal,Ablation: freeze thermal coupling,ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Winter_Usage,7640.0,0.023046085445932167,3.146448495963937,298.15,298.1498090007292,0.0002129599505324986,6.3924735873188325,13.566983664849719,5.0,1529,ablation_no_thermal,Ablation: freeze thermal coupling,ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Day_in_the_Life,15080.0,0.08243159747092663,3.20718945967786,310.4618799435556,298.15,0.00019509813785956176,2.7961066142503186,11.696527158918167,10.0,1509,ablation_no_polarization,Ablation: no polarization (RC off),ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Gaming,2055.0,0.06350995414690429,3.2101066393835334,311.85693402085536,298.15,0.00016371918432833699,18.515652309061043,10.570127700668294,5.0,412,ablation_no_polarization,Ablation: no polarization (RC off),ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Video_Streaming,4890.0,0.0273409555133082,3.175164700955388,304.0589347182416,298.15,0.00019710064913935899,9.426987571259502,12.805950863896886,5.0,979,ablation_no_polarization,Ablation: no polarization (RC off),ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Winter_Usage,6670.0,0.12299000505034827,3.1923306564874974,298.15,277.07494981537843,0.00022143937749341536,6.699774492689455,12.414139377749027,5.0,1335,ablation_no_polarization,Ablation: no polarization (RC off),ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Day_in_the_Life,15010.0,0.1062254653787254,3.173772308275604,310.4003362400517,298.15,0.0001912978544742483,2.7382738606051555,11.400444961732013,10.0,1502,ablation_no_calibration,Ablation: no calibration,ablation,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Gaming,1980.0,0.08222486587805126,3.183375307702875,311.80200448678875,298.15,0.00016006754793185252,18.674410854113393,10.271801544819297,5.0,397,ablation_no_calibration,Ablation: no calibration,ablation,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Video_Streaming,4875.0,0.029488002405548417,3.167986546315201,304.05017791267727,298.15,0.00019674121791646293,9.433728172003443,12.775806168953217,5.0,976,ablation_no_calibration,Ablation: no calibration,ablation,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Winter_Usage,6615.0,0.13077628165563773,3.177909399789541,298.15,277.0749498145452,0.00022037850507439227,6.712279938199182,12.334743794725023,5.0,1324,ablation_no_calibration,Ablation: no calibration,ablation,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
