参数类别,参数名称,符号,单位,iPhone 16 Pro Max (A18 Pro),Samsung S25 Ultra (8 Elite),Xiaomi 15 Ultra (8 Elite),2026通用建模推荐值,物理含义/建模备注
核心规格,设计容量,Q_design,mAh,4685,5000,5410,5000,积分上限。小米(CN版)为6000mAh硅碳负极。
核心规格,标称能量,E_design,Wh,18.17,19.4,21,19.5,能量=容量×电压。硅碳电池平台电压略低(3.86V)。
核心规格,整机质量,m,kg,0.227,0.218,0.229,0.225,热容计算基数。钛合金中框并未显著减轻总重。
电气参数,截止电压,V_cutoff,V,3,3,2.8,3,硅碳负极(小米)放电拖尾更长，截止电压更低。
电气参数,参考内阻 (DCIR),R_ref,mΩ,38,28,22,30,决定焦耳热(I^2R)和压降。百瓦快充机型内阻极低。
电气参数,功率转换效率,eta_logic,%,87%,85%,85%,85%,PMIC效率。高负载下发热的主要来源之一(15%损耗)。
电气参数,库仑效率,eta_coulomb,%,99.90%,99.90%,99.50%,99.90%,锂离子电池极高，硅碳略低，建模通常可忽略损耗。
功耗参数,屏幕面积,A_scr,cm2,115.6,116.9,108.9,114,6.7-6.9英寸屏幕的实际发光面积。
功耗参数,屏幕峰值功耗,P_max_scr,W,4.2,4.5,4.5,4.5,100% APL白光激发亮度(1600nits+)下的功耗，远超旧值。
功耗参数,CPU 瞬时峰值功耗,P_peak_cpu,W,12,17,17,15,Geekbench多核爆发功耗。仅能维持数秒(Race-to-Idle)。
功耗参数,CPU 稳态游戏功耗,P_game_avg,W,5.5,6.5,7,6,《原神》等重载场景下受温控限制的实际最大持续功耗。
功耗参数,待机底噪功耗,P_idle,W,0.06,0.12,0.12,0.1,飞行模式/屏幕关闭。5G联网下需增加0.1-0.2W。
热力学参数,比热容,C_p,J/(kg・K),760,760,820,780,电池占比增加提高整体热容，但钛框导热差降低等效值。
热力学参数,表面积,A_surf,m2,0.0253,0.0253,0.0243,0.025,用于对流散热的表面积(正反面之和)。
热力学参数,对流换热系数,h,W/(m2・K),10,10,12,11,包含辐射散热的综合系数。玻璃/陶瓷后盖辐射率高。
热力学参数,热节流阈值,T_thresh,°C,44,45,48,45,表面温度墙。超过此值系统强制降频(P_cpu降低)。
老化参数,循环老化系数,k_cycle,1/Ah,3.00E-05,4.00E-05,4.00E-05,4.00E-05,1600次循环剩80%。现代电池寿命优于旧数据(5E-5)。
老化参数,日历老化系数,k_cal,1/sec,1.20E-07,1.00E-07,1.00E-07,1.00E-07,高压体系(4.48V)满电存放衰减稍快。
